Encoded State: [2.0, 5.0, 0.16, 0.93, 0.91, 0.17204301075268819], Shape: (6,)
Encoded State: [2.0, 5.0, 0.18, 0.91, 0.91, 0.1978021978021978], Shape: (6,)
Encoded State: [2.0, 5.0, 0.22, 0.91, 0.87, 0.24175824175824176], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.86, 1.11, 0.03488372093023256], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.13, 0.84, 0.02654867256637168], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.84, 1.12, 0.047619047619047616], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.83, 1.14, 0.03614457831325301], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 1.14, 0.81, 0.043859649122807015], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.97, 0.97, 0.061855670103092786], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.97, 0.97, 0.061855670103092786], Shape: (6,)
Encoded State: [2.0, 3.0, 0.08, 0.97, 0.95, 0.08247422680412371], Shape: (6,)
Encoded State: [2.0, 3.0, 0.12, 0.95, 0.93, 0.12631578947368421], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.93, 0.93, 0.15053763440860216], Shape: (6,)
Encoded State: [2.0, 4.0, 0.14, 0.93, 0.93, 0.15053763440860216], Shape: (6,)
Encoded State: [2.0, 5.0, 0.14, 0.93, 0.93, 0.15053763440860216], Shape: (6,)
Encoded State: [2.0, 5.0, 0.16, 0.93, 0.91, 0.17204301075268819], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.9, 1.07, 0.03333333333333333], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.09, 0.88, 0.027522935779816515], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.88, 1.07, 0.056818181818181816], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.87, 1.1, 0.034482758620689655], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.1, 0.86, 0.03636363636363636], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.86, 1.1, 0.046511627906976744], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.13, 0.84, 0.02654867256637168], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.84, 1.11, 0.05952380952380952], Shape: (6,)
Encoded State: [2.0, 0.0, 0.07, 1.11, 0.82, 0.06306306306306306], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 0.98, 0.97, 0.05102040816326531], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.97, 1.0, 0.030927835051546393], Shape: (6,)
Encoded State: [2.0, 0.0, 0.05, 1.0, 0.95, 0.05], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.95, 0.99, 0.06315789473684211], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 0.99, 0.95, 0.06060606060606061], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.98, 0.99, 0.030612244897959183], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.99, 0.97, 0.04040404040404041], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.97, 0.99, 0.041237113402061855], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 1.02, 0.95, 0.029411764705882353], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.95, 1.01, 0.042105263157894736], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.94, 1.03, 0.031914893617021274], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 1.03, 0.93, 0.038834951456310676], Shape: (6,)
Encoded State: [2.0, 3.0, 0.04, 0.93, 1.03, 0.043010752688172046], Shape: (6,)
Encoded State: [2.0, 3.0, 0.06, 1.03, 0.91, 0.05825242718446602], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.99, 0.98, 0.030303030303030304], Shape: (6,)
Encoded State: [2.0, 0.0, 0.04, 0.98, 0.98, 0.04081632653061224], Shape: (6,)
Encoded State: [2.0, 0.0, 0.03, 0.97, 1.0, 0.030927835051546393], Shape: (6,)
